node_id	layer_id	op_id	name	op_type	inputs	outputs
N000	L000	conv_000	/model.0/conv/Conv	Conv	images:FLOAT:[1, 3, 640, 640] | model.0.conv.weight:FLOAT:[16, 3, 3, 3] | model.0.conv.bias:FLOAT:[16]	/model.0/conv/Conv_output_0:FLOAT:[1, 16, 320, 320]
N001	L001	sigmoid_000	/model.0/act/Sigmoid	Sigmoid	/model.0/conv/Conv_output_0:FLOAT:[1, 16, 320, 320]	/model.0/act/Sigmoid_output_0:FLOAT:[1, 16, 320, 320]
N002	L002	mul_000	/model.0/act/Mul	Mul	/model.0/conv/Conv_output_0:FLOAT:[1, 16, 320, 320] | /model.0/act/Sigmoid_output_0:FLOAT:[1, 16, 320, 320]	/model.0/act/Mul_output_0:FLOAT:[1, 16, 320, 320]
N003	L003	conv_001	/model.1/conv/Conv	Conv	/model.0/act/Mul_output_0:FLOAT:[1, 16, 320, 320] | model.1.conv.weight:FLOAT:[32, 16, 3, 3] | model.1.conv.bias:FLOAT:[32]	/model.1/conv/Conv_output_0:FLOAT:[1, 32, 160, 160]
N004	L004	sigmoid_001	/model.1/act/Sigmoid	Sigmoid	/model.1/conv/Conv_output_0:FLOAT:[1, 32, 160, 160]	/model.1/act/Sigmoid_output_0:FLOAT:[1, 32, 160, 160]
N005	L005	mul_001	/model.1/act/Mul	Mul	/model.1/conv/Conv_output_0:FLOAT:[1, 32, 160, 160] | /model.1/act/Sigmoid_output_0:FLOAT:[1, 32, 160, 160]	/model.1/act/Mul_output_0:FLOAT:[1, 32, 160, 160]
N006	L006	conv_002	/model.2/cv1/conv/Conv	Conv	/model.1/act/Mul_output_0:FLOAT:[1, 32, 160, 160] | model.2.cv1.conv.weight:FLOAT:[32, 32, 1, 1] | model.2.cv1.conv.bias:FLOAT:[32]	/model.2/cv1/conv/Conv_output_0:FLOAT:[1, 32, 160, 160]
N007	L007	sigmoid_002	/model.2/cv1/act/Sigmoid	Sigmoid	/model.2/cv1/conv/Conv_output_0:FLOAT:[1, 32, 160, 160]	/model.2/cv1/act/Sigmoid_output_0:FLOAT:[1, 32, 160, 160]
N008	L008	mul_002	/model.2/cv1/act/Mul	Mul	/model.2/cv1/conv/Conv_output_0:FLOAT:[1, 32, 160, 160] | /model.2/cv1/act/Sigmoid_output_0:FLOAT:[1, 32, 160, 160]	/model.2/cv1/act/Mul_output_0:FLOAT:[1, 32, 160, 160]
N009	L009	split_000	/model.2/Split	Split	/model.2/cv1/act/Mul_output_0:FLOAT:[1, 32, 160, 160] | onnx::Split_225:INT64:[2]	/model.2/Split_output_0:FLOAT:[1, 16, 160, 160] | /model.2/Split_output_1:FLOAT:[1, 16, 160, 160]
N010	L010	conv_003	/model.2/m.0/cv1/conv/Conv	Conv	/model.2/Split_output_1:FLOAT:[1, 16, 160, 160] | model.2.m.0.cv1.conv.weight:FLOAT:[16, 16, 3, 3] | model.2.m.0.cv1.conv.bias:FLOAT:[16]	/model.2/m.0/cv1/conv/Conv_output_0:FLOAT:[1, 16, 160, 160]
N011	L011	sigmoid_003	/model.2/m.0/cv1/act/Sigmoid	Sigmoid	/model.2/m.0/cv1/conv/Conv_output_0:FLOAT:[1, 16, 160, 160]	/model.2/m.0/cv1/act/Sigmoid_output_0:FLOAT:[1, 16, 160, 160]
N012	L012	mul_003	/model.2/m.0/cv1/act/Mul	Mul	/model.2/m.0/cv1/conv/Conv_output_0:FLOAT:[1, 16, 160, 160] | /model.2/m.0/cv1/act/Sigmoid_output_0:FLOAT:[1, 16, 160, 160]	/model.2/m.0/cv1/act/Mul_output_0:FLOAT:[1, 16, 160, 160]
N013	L013	conv_004	/model.2/m.0/cv2/conv/Conv	Conv	/model.2/m.0/cv1/act/Mul_output_0:FLOAT:[1, 16, 160, 160] | model.2.m.0.cv2.conv.weight:FLOAT:[16, 16, 3, 3] | model.2.m.0.cv2.conv.bias:FLOAT:[16]	/model.2/m.0/cv2/conv/Conv_output_0:FLOAT:[1, 16, 160, 160]
N014	L014	sigmoid_004	/model.2/m.0/cv2/act/Sigmoid	Sigmoid	/model.2/m.0/cv2/conv/Conv_output_0:FLOAT:[1, 16, 160, 160]	/model.2/m.0/cv2/act/Sigmoid_output_0:FLOAT:[1, 16, 160, 160]
N015	L015	mul_004	/model.2/m.0/cv2/act/Mul	Mul	/model.2/m.0/cv2/conv/Conv_output_0:FLOAT:[1, 16, 160, 160] | /model.2/m.0/cv2/act/Sigmoid_output_0:FLOAT:[1, 16, 160, 160]	/model.2/m.0/cv2/act/Mul_output_0:FLOAT:[1, 16, 160, 160]
N016	L016	add_000	/model.2/m.0/Add	Add	/model.2/Split_output_1:FLOAT:[1, 16, 160, 160] | /model.2/m.0/cv2/act/Mul_output_0:FLOAT:[1, 16, 160, 160]	/model.2/m.0/Add_output_0:FLOAT:[1, 16, 160, 160]
N017	L017	concat_000	/model.2/Concat	Concat	/model.2/Split_output_0:FLOAT:[1, 16, 160, 160] | /model.2/Split_output_1:FLOAT:[1, 16, 160, 160] | /model.2/m.0/Add_output_0:FLOAT:[1, 16, 160, 160]	/model.2/Concat_output_0:FLOAT:[1, 48, 160, 160]
N018	L018	conv_005	/model.2/cv2/conv/Conv	Conv	/model.2/Concat_output_0:FLOAT:[1, 48, 160, 160] | model.2.cv2.conv.weight:FLOAT:[32, 48, 1, 1] | model.2.cv2.conv.bias:FLOAT:[32]	/model.2/cv2/conv/Conv_output_0:FLOAT:[1, 32, 160, 160]
N019	L019	sigmoid_005	/model.2/cv2/act/Sigmoid	Sigmoid	/model.2/cv2/conv/Conv_output_0:FLOAT:[1, 32, 160, 160]	/model.2/cv2/act/Sigmoid_output_0:FLOAT:[1, 32, 160, 160]
N020	L020	mul_005	/model.2/cv2/act/Mul	Mul	/model.2/cv2/conv/Conv_output_0:FLOAT:[1, 32, 160, 160] | /model.2/cv2/act/Sigmoid_output_0:FLOAT:[1, 32, 160, 160]	/model.2/cv2/act/Mul_output_0:FLOAT:[1, 32, 160, 160]
N021	L021	conv_006	/model.3/conv/Conv	Conv	/model.2/cv2/act/Mul_output_0:FLOAT:[1, 32, 160, 160] | model.3.conv.weight:FLOAT:[64, 32, 3, 3] | model.3.conv.bias:FLOAT:[64]	/model.3/conv/Conv_output_0:FLOAT:[1, 64, 80, 80]
N022	L022	sigmoid_006	/model.3/act/Sigmoid	Sigmoid	/model.3/conv/Conv_output_0:FLOAT:[1, 64, 80, 80]	/model.3/act/Sigmoid_output_0:FLOAT:[1, 64, 80, 80]
N023	L023	mul_006	/model.3/act/Mul	Mul	/model.3/conv/Conv_output_0:FLOAT:[1, 64, 80, 80] | /model.3/act/Sigmoid_output_0:FLOAT:[1, 64, 80, 80]	/model.3/act/Mul_output_0:FLOAT:[1, 64, 80, 80]
N024	L024	conv_007	/model.4/cv1/conv/Conv	Conv	/model.3/act/Mul_output_0:FLOAT:[1, 64, 80, 80] | model.4.cv1.conv.weight:FLOAT:[64, 64, 1, 1] | model.4.cv1.conv.bias:FLOAT:[64]	/model.4/cv1/conv/Conv_output_0:FLOAT:[1, 64, 80, 80]
N025	L025	sigmoid_007	/model.4/cv1/act/Sigmoid	Sigmoid	/model.4/cv1/conv/Conv_output_0:FLOAT:[1, 64, 80, 80]	/model.4/cv1/act/Sigmoid_output_0:FLOAT:[1, 64, 80, 80]
N026	L026	mul_007	/model.4/cv1/act/Mul	Mul	/model.4/cv1/conv/Conv_output_0:FLOAT:[1, 64, 80, 80] | /model.4/cv1/act/Sigmoid_output_0:FLOAT:[1, 64, 80, 80]	/model.4/cv1/act/Mul_output_0:FLOAT:[1, 64, 80, 80]
N027	L027	split_001	/model.4/Split	Split	/model.4/cv1/act/Mul_output_0:FLOAT:[1, 64, 80, 80] | onnx::Split_245:INT64:[2]	/model.4/Split_output_0:FLOAT:[1, 32, 80, 80] | /model.4/Split_output_1:FLOAT:[1, 32, 80, 80]
N028	L028	conv_008	/model.4/m.0/cv1/conv/Conv	Conv	/model.4/Split_output_1:FLOAT:[1, 32, 80, 80] | model.4.m.0.cv1.conv.weight:FLOAT:[32, 32, 3, 3] | model.4.m.0.cv1.conv.bias:FLOAT:[32]	/model.4/m.0/cv1/conv/Conv_output_0:FLOAT:[1, 32, 80, 80]
N029	L029	sigmoid_008	/model.4/m.0/cv1/act/Sigmoid	Sigmoid	/model.4/m.0/cv1/conv/Conv_output_0:FLOAT:[1, 32, 80, 80]	/model.4/m.0/cv1/act/Sigmoid_output_0:FLOAT:[1, 32, 80, 80]
N030	L030	mul_008	/model.4/m.0/cv1/act/Mul	Mul	/model.4/m.0/cv1/conv/Conv_output_0:FLOAT:[1, 32, 80, 80] | /model.4/m.0/cv1/act/Sigmoid_output_0:FLOAT:[1, 32, 80, 80]	/model.4/m.0/cv1/act/Mul_output_0:FLOAT:[1, 32, 80, 80]
N031	L031	conv_009	/model.4/m.0/cv2/conv/Conv	Conv	/model.4/m.0/cv1/act/Mul_output_0:FLOAT:[1, 32, 80, 80] | model.4.m.0.cv2.conv.weight:FLOAT:[32, 32, 3, 3] | model.4.m.0.cv2.conv.bias:FLOAT:[32]	/model.4/m.0/cv2/conv/Conv_output_0:FLOAT:[1, 32, 80, 80]
N032	L032	sigmoid_009	/model.4/m.0/cv2/act/Sigmoid	Sigmoid	/model.4/m.0/cv2/conv/Conv_output_0:FLOAT:[1, 32, 80, 80]	/model.4/m.0/cv2/act/Sigmoid_output_0:FLOAT:[1, 32, 80, 80]
N033	L033	mul_009	/model.4/m.0/cv2/act/Mul	Mul	/model.4/m.0/cv2/conv/Conv_output_0:FLOAT:[1, 32, 80, 80] | /model.4/m.0/cv2/act/Sigmoid_output_0:FLOAT:[1, 32, 80, 80]	/model.4/m.0/cv2/act/Mul_output_0:FLOAT:[1, 32, 80, 80]
N034	L034	add_001	/model.4/m.0/Add	Add	/model.4/Split_output_1:FLOAT:[1, 32, 80, 80] | /model.4/m.0/cv2/act/Mul_output_0:FLOAT:[1, 32, 80, 80]	/model.4/m.0/Add_output_0:FLOAT:[1, 32, 80, 80]
N035	L035	conv_010	/model.4/m.1/cv1/conv/Conv	Conv	/model.4/m.0/Add_output_0:FLOAT:[1, 32, 80, 80] | model.4.m.1.cv1.conv.weight:FLOAT:[32, 32, 3, 3] | model.4.m.1.cv1.conv.bias:FLOAT:[32]	/model.4/m.1/cv1/conv/Conv_output_0:FLOAT:[1, 32, 80, 80]
N036	L036	sigmoid_010	/model.4/m.1/cv1/act/Sigmoid	Sigmoid	/model.4/m.1/cv1/conv/Conv_output_0:FLOAT:[1, 32, 80, 80]	/model.4/m.1/cv1/act/Sigmoid_output_0:FLOAT:[1, 32, 80, 80]
N037	L037	mul_010	/model.4/m.1/cv1/act/Mul	Mul	/model.4/m.1/cv1/conv/Conv_output_0:FLOAT:[1, 32, 80, 80] | /model.4/m.1/cv1/act/Sigmoid_output_0:FLOAT:[1, 32, 80, 80]	/model.4/m.1/cv1/act/Mul_output_0:FLOAT:[1, 32, 80, 80]
N038	L038	conv_011	/model.4/m.1/cv2/conv/Conv	Conv	/model.4/m.1/cv1/act/Mul_output_0:FLOAT:[1, 32, 80, 80] | model.4.m.1.cv2.conv.weight:FLOAT:[32, 32, 3, 3] | model.4.m.1.cv2.conv.bias:FLOAT:[32]	/model.4/m.1/cv2/conv/Conv_output_0:FLOAT:[1, 32, 80, 80]
N039	L039	sigmoid_011	/model.4/m.1/cv2/act/Sigmoid	Sigmoid	/model.4/m.1/cv2/conv/Conv_output_0:FLOAT:[1, 32, 80, 80]	/model.4/m.1/cv2/act/Sigmoid_output_0:FLOAT:[1, 32, 80, 80]
N040	L040	mul_011	/model.4/m.1/cv2/act/Mul	Mul	/model.4/m.1/cv2/conv/Conv_output_0:FLOAT:[1, 32, 80, 80] | /model.4/m.1/cv2/act/Sigmoid_output_0:FLOAT:[1, 32, 80, 80]	/model.4/m.1/cv2/act/Mul_output_0:FLOAT:[1, 32, 80, 80]
N041	L041	add_002	/model.4/m.1/Add	Add	/model.4/m.0/Add_output_0:FLOAT:[1, 32, 80, 80] | /model.4/m.1/cv2/act/Mul_output_0:FLOAT:[1, 32, 80, 80]	/model.4/m.1/Add_output_0:FLOAT:[1, 32, 80, 80]
N042	L042	concat_001	/model.4/Concat	Concat	/model.4/Split_output_0:FLOAT:[1, 32, 80, 80] | /model.4/Split_output_1:FLOAT:[1, 32, 80, 80] | /model.4/m.0/Add_output_0:FLOAT:[1, 32, 80, 80] | /model.4/m.1/Add_output_0:FLOAT:[1, 32, 80, 80]	/model.4/Concat_output_0:FLOAT:[1, 128, 80, 80]
N043	L043	conv_012	/model.4/cv2/conv/Conv	Conv	/model.4/Concat_output_0:FLOAT:[1, 128, 80, 80] | model.4.cv2.conv.weight:FLOAT:[64, 128, 1, 1] | model.4.cv2.conv.bias:FLOAT:[64]	/model.4/cv2/conv/Conv_output_0:FLOAT:[1, 64, 80, 80]
N044	L044	sigmoid_012	/model.4/cv2/act/Sigmoid	Sigmoid	/model.4/cv2/conv/Conv_output_0:FLOAT:[1, 64, 80, 80]	/model.4/cv2/act/Sigmoid_output_0:FLOAT:[1, 64, 80, 80]
N045	L045	mul_012	/model.4/cv2/act/Mul	Mul	/model.4/cv2/conv/Conv_output_0:FLOAT:[1, 64, 80, 80] | /model.4/cv2/act/Sigmoid_output_0:FLOAT:[1, 64, 80, 80]	/model.4/cv2/act/Mul_output_0:FLOAT:[1, 64, 80, 80]
N046	L046	conv_013	/model.5/cv1/conv/Conv	Conv	/model.4/cv2/act/Mul_output_0:FLOAT:[1, 64, 80, 80] | model.5.cv1.conv.weight:FLOAT:[128, 64, 1, 1] | model.5.cv1.conv.bias:FLOAT:[128]	/model.5/cv1/conv/Conv_output_0:FLOAT:[1, 128, 80, 80]
N047	L047	sigmoid_013	/model.5/cv1/act/Sigmoid	Sigmoid	/model.5/cv1/conv/Conv_output_0:FLOAT:[1, 128, 80, 80]	/model.5/cv1/act/Sigmoid_output_0:FLOAT:[1, 128, 80, 80]
N048	L048	mul_013	/model.5/cv1/act/Mul	Mul	/model.5/cv1/conv/Conv_output_0:FLOAT:[1, 128, 80, 80] | /model.5/cv1/act/Sigmoid_output_0:FLOAT:[1, 128, 80, 80]	/model.5/cv1/act/Mul_output_0:FLOAT:[1, 128, 80, 80]
N049	L049	conv_014	/model.5/cv2/conv/Conv	Conv	/model.5/cv1/act/Mul_output_0:FLOAT:[1, 128, 80, 80] | model.5.cv2.conv.weight:FLOAT:[128, 1, 3, 3] | model.5.cv2.conv.bias:FLOAT:[128]	/model.5/cv2/conv/Conv_output_0:FLOAT:[1, 128, 40, 40]
N050	L050	conv_015	/model.6/cv1/conv/Conv	Conv	/model.5/cv2/conv/Conv_output_0:FLOAT:[1, 128, 40, 40] | model.6.cv1.conv.weight:FLOAT:[128, 128, 1, 1] | model.6.cv1.conv.bias:FLOAT:[128]	/model.6/cv1/conv/Conv_output_0:FLOAT:[1, 128, 40, 40]
N051	L051	sigmoid_014	/model.6/cv1/act/Sigmoid	Sigmoid	/model.6/cv1/conv/Conv_output_0:FLOAT:[1, 128, 40, 40]	/model.6/cv1/act/Sigmoid_output_0:FLOAT:[1, 128, 40, 40]
N052	L052	mul_014	/model.6/cv1/act/Mul	Mul	/model.6/cv1/conv/Conv_output_0:FLOAT:[1, 128, 40, 40] | /model.6/cv1/act/Sigmoid_output_0:FLOAT:[1, 128, 40, 40]	/model.6/cv1/act/Mul_output_0:FLOAT:[1, 128, 40, 40]
N053	L053	split_002	/model.6/Split	Split	/model.6/cv1/act/Mul_output_0:FLOAT:[1, 128, 40, 40] | onnx::Split_273:INT64:[2]	/model.6/Split_output_0:FLOAT:[1, 64, 40, 40] | /model.6/Split_output_1:FLOAT:[1, 64, 40, 40]
N054	L054	conv_016	/model.6/m.0/cv1/conv/Conv	Conv	/model.6/Split_output_1:FLOAT:[1, 64, 40, 40] | model.6.m.0.cv1.conv.weight:FLOAT:[64, 64, 3, 3] | model.6.m.0.cv1.conv.bias:FLOAT:[64]	/model.6/m.0/cv1/conv/Conv_output_0:FLOAT:[1, 64, 40, 40]
N055	L055	sigmoid_015	/model.6/m.0/cv1/act/Sigmoid	Sigmoid	/model.6/m.0/cv1/conv/Conv_output_0:FLOAT:[1, 64, 40, 40]	/model.6/m.0/cv1/act/Sigmoid_output_0:FLOAT:[1, 64, 40, 40]
N056	L056	mul_015	/model.6/m.0/cv1/act/Mul	Mul	/model.6/m.0/cv1/conv/Conv_output_0:FLOAT:[1, 64, 40, 40] | /model.6/m.0/cv1/act/Sigmoid_output_0:FLOAT:[1, 64, 40, 40]	/model.6/m.0/cv1/act/Mul_output_0:FLOAT:[1, 64, 40, 40]
N057	L057	conv_017	/model.6/m.0/cv2/conv/Conv	Conv	/model.6/m.0/cv1/act/Mul_output_0:FLOAT:[1, 64, 40, 40] | model.6.m.0.cv2.conv.weight:FLOAT:[64, 64, 3, 3] | model.6.m.0.cv2.conv.bias:FLOAT:[64]	/model.6/m.0/cv2/conv/Conv_output_0:FLOAT:[1, 64, 40, 40]
N058	L058	sigmoid_016	/model.6/m.0/cv2/act/Sigmoid	Sigmoid	/model.6/m.0/cv2/conv/Conv_output_0:FLOAT:[1, 64, 40, 40]	/model.6/m.0/cv2/act/Sigmoid_output_0:FLOAT:[1, 64, 40, 40]
N059	L059	mul_016	/model.6/m.0/cv2/act/Mul	Mul	/model.6/m.0/cv2/conv/Conv_output_0:FLOAT:[1, 64, 40, 40] | /model.6/m.0/cv2/act/Sigmoid_output_0:FLOAT:[1, 64, 40, 40]	/model.6/m.0/cv2/act/Mul_output_0:FLOAT:[1, 64, 40, 40]
N060	L060	add_003	/model.6/m.0/Add	Add	/model.6/Split_output_1:FLOAT:[1, 64, 40, 40] | /model.6/m.0/cv2/act/Mul_output_0:FLOAT:[1, 64, 40, 40]	/model.6/m.0/Add_output_0:FLOAT:[1, 64, 40, 40]
N061	L061	conv_018	/model.6/m.1/cv1/conv/Conv	Conv	/model.6/m.0/Add_output_0:FLOAT:[1, 64, 40, 40] | model.6.m.1.cv1.conv.weight:FLOAT:[64, 64, 3, 3] | model.6.m.1.cv1.conv.bias:FLOAT:[64]	/model.6/m.1/cv1/conv/Conv_output_0:FLOAT:[1, 64, 40, 40]
N062	L062	sigmoid_017	/model.6/m.1/cv1/act/Sigmoid	Sigmoid	/model.6/m.1/cv1/conv/Conv_output_0:FLOAT:[1, 64, 40, 40]	/model.6/m.1/cv1/act/Sigmoid_output_0:FLOAT:[1, 64, 40, 40]
N063	L063	mul_017	/model.6/m.1/cv1/act/Mul	Mul	/model.6/m.1/cv1/conv/Conv_output_0:FLOAT:[1, 64, 40, 40] | /model.6/m.1/cv1/act/Sigmoid_output_0:FLOAT:[1, 64, 40, 40]	/model.6/m.1/cv1/act/Mul_output_0:FLOAT:[1, 64, 40, 40]
N064	L064	conv_019	/model.6/m.1/cv2/conv/Conv	Conv	/model.6/m.1/cv1/act/Mul_output_0:FLOAT:[1, 64, 40, 40] | model.6.m.1.cv2.conv.weight:FLOAT:[64, 64, 3, 3] | model.6.m.1.cv2.conv.bias:FLOAT:[64]	/model.6/m.1/cv2/conv/Conv_output_0:FLOAT:[1, 64, 40, 40]
N065	L065	sigmoid_018	/model.6/m.1/cv2/act/Sigmoid	Sigmoid	/model.6/m.1/cv2/conv/Conv_output_0:FLOAT:[1, 64, 40, 40]	/model.6/m.1/cv2/act/Sigmoid_output_0:FLOAT:[1, 64, 40, 40]
N066	L066	mul_018	/model.6/m.1/cv2/act/Mul	Mul	/model.6/m.1/cv2/conv/Conv_output_0:FLOAT:[1, 64, 40, 40] | /model.6/m.1/cv2/act/Sigmoid_output_0:FLOAT:[1, 64, 40, 40]	/model.6/m.1/cv2/act/Mul_output_0:FLOAT:[1, 64, 40, 40]
N067	L067	add_004	/model.6/m.1/Add	Add	/model.6/m.0/Add_output_0:FLOAT:[1, 64, 40, 40] | /model.6/m.1/cv2/act/Mul_output_0:FLOAT:[1, 64, 40, 40]	/model.6/m.1/Add_output_0:FLOAT:[1, 64, 40, 40]
N068	L068	concat_002	/model.6/Concat	Concat	/model.6/Split_output_0:FLOAT:[1, 64, 40, 40] | /model.6/Split_output_1:FLOAT:[1, 64, 40, 40] | /model.6/m.0/Add_output_0:FLOAT:[1, 64, 40, 40] | /model.6/m.1/Add_output_0:FLOAT:[1, 64, 40, 40]	/model.6/Concat_output_0:FLOAT:[1, 256, 40, 40]
N069	L069	conv_020	/model.6/cv2/conv/Conv	Conv	/model.6/Concat_output_0:FLOAT:[1, 256, 40, 40] | model.6.cv2.conv.weight:FLOAT:[128, 256, 1, 1] | model.6.cv2.conv.bias:FLOAT:[128]	/model.6/cv2/conv/Conv_output_0:FLOAT:[1, 128, 40, 40]
N070	L070	sigmoid_019	/model.6/cv2/act/Sigmoid	Sigmoid	/model.6/cv2/conv/Conv_output_0:FLOAT:[1, 128, 40, 40]	/model.6/cv2/act/Sigmoid_output_0:FLOAT:[1, 128, 40, 40]
N071	L071	mul_019	/model.6/cv2/act/Mul	Mul	/model.6/cv2/conv/Conv_output_0:FLOAT:[1, 128, 40, 40] | /model.6/cv2/act/Sigmoid_output_0:FLOAT:[1, 128, 40, 40]	/model.6/cv2/act/Mul_output_0:FLOAT:[1, 128, 40, 40]
N072	L072	conv_021	/model.7/cv1/conv/Conv	Conv	/model.6/cv2/act/Mul_output_0:FLOAT:[1, 128, 40, 40] | model.7.cv1.conv.weight:FLOAT:[256, 128, 1, 1] | model.7.cv1.conv.bias:FLOAT:[256]	/model.7/cv1/conv/Conv_output_0:FLOAT:[1, 256, 40, 40]
N073	L073	sigmoid_020	/model.7/cv1/act/Sigmoid	Sigmoid	/model.7/cv1/conv/Conv_output_0:FLOAT:[1, 256, 40, 40]	/model.7/cv1/act/Sigmoid_output_0:FLOAT:[1, 256, 40, 40]
N074	L074	mul_020	/model.7/cv1/act/Mul	Mul	/model.7/cv1/conv/Conv_output_0:FLOAT:[1, 256, 40, 40] | /model.7/cv1/act/Sigmoid_output_0:FLOAT:[1, 256, 40, 40]	/model.7/cv1/act/Mul_output_0:FLOAT:[1, 256, 40, 40]
N075	L075	conv_022	/model.7/cv2/conv/Conv	Conv	/model.7/cv1/act/Mul_output_0:FLOAT:[1, 256, 40, 40] | model.7.cv2.conv.weight:FLOAT:[256, 1, 3, 3] | model.7.cv2.conv.bias:FLOAT:[256]	/model.7/cv2/conv/Conv_output_0:FLOAT:[1, 256, 20, 20]
N076	L076	conv_023	/model.8/cv1/conv/Conv	Conv	/model.7/cv2/conv/Conv_output_0:FLOAT:[1, 256, 20, 20] | model.8.cv1.conv.weight:FLOAT:[256, 256, 1, 1] | model.8.cv1.conv.bias:FLOAT:[256]	/model.8/cv1/conv/Conv_output_0:FLOAT:[1, 256, 20, 20]
N077	L077	sigmoid_021	/model.8/cv1/act/Sigmoid	Sigmoid	/model.8/cv1/conv/Conv_output_0:FLOAT:[1, 256, 20, 20]	/model.8/cv1/act/Sigmoid_output_0:FLOAT:[1, 256, 20, 20]
N078	L078	mul_021	/model.8/cv1/act/Mul	Mul	/model.8/cv1/conv/Conv_output_0:FLOAT:[1, 256, 20, 20] | /model.8/cv1/act/Sigmoid_output_0:FLOAT:[1, 256, 20, 20]	/model.8/cv1/act/Mul_output_0:FLOAT:[1, 256, 20, 20]
N079	L079	split_003	/model.8/Split	Split	/model.8/cv1/act/Mul_output_0:FLOAT:[1, 256, 20, 20] | onnx::Split_301:INT64:[2]	/model.8/Split_output_0:FLOAT:[1, 128, 20, 20] | /model.8/Split_output_1:FLOAT:[1, 128, 20, 20]
N080	L080	conv_024	/model.8/m.0/cv1/conv/Conv	Conv	/model.8/Split_output_1:FLOAT:[1, 128, 20, 20] | model.8.m.0.cv1.conv.weight:FLOAT:[128, 128, 3, 3] | model.8.m.0.cv1.conv.bias:FLOAT:[128]	/model.8/m.0/cv1/conv/Conv_output_0:FLOAT:[1, 128, 20, 20]
N081	L081	sigmoid_022	/model.8/m.0/cv1/act/Sigmoid	Sigmoid	/model.8/m.0/cv1/conv/Conv_output_0:FLOAT:[1, 128, 20, 20]	/model.8/m.0/cv1/act/Sigmoid_output_0:FLOAT:[1, 128, 20, 20]
N082	L082	mul_022	/model.8/m.0/cv1/act/Mul	Mul	/model.8/m.0/cv1/conv/Conv_output_0:FLOAT:[1, 128, 20, 20] | /model.8/m.0/cv1/act/Sigmoid_output_0:FLOAT:[1, 128, 20, 20]	/model.8/m.0/cv1/act/Mul_output_0:FLOAT:[1, 128, 20, 20]
N083	L083	conv_025	/model.8/m.0/cv2/conv/Conv	Conv	/model.8/m.0/cv1/act/Mul_output_0:FLOAT:[1, 128, 20, 20] | model.8.m.0.cv2.conv.weight:FLOAT:[128, 128, 3, 3] | model.8.m.0.cv2.conv.bias:FLOAT:[128]	/model.8/m.0/cv2/conv/Conv_output_0:FLOAT:[1, 128, 20, 20]
N084	L084	sigmoid_023	/model.8/m.0/cv2/act/Sigmoid	Sigmoid	/model.8/m.0/cv2/conv/Conv_output_0:FLOAT:[1, 128, 20, 20]	/model.8/m.0/cv2/act/Sigmoid_output_0:FLOAT:[1, 128, 20, 20]
N085	L085	mul_023	/model.8/m.0/cv2/act/Mul	Mul	/model.8/m.0/cv2/conv/Conv_output_0:FLOAT:[1, 128, 20, 20] | /model.8/m.0/cv2/act/Sigmoid_output_0:FLOAT:[1, 128, 20, 20]	/model.8/m.0/cv2/act/Mul_output_0:FLOAT:[1, 128, 20, 20]
N086	L086	add_005	/model.8/m.0/Add	Add	/model.8/Split_output_1:FLOAT:[1, 128, 20, 20] | /model.8/m.0/cv2/act/Mul_output_0:FLOAT:[1, 128, 20, 20]	/model.8/m.0/Add_output_0:FLOAT:[1, 128, 20, 20]
N087	L087	concat_003	/model.8/Concat	Concat	/model.8/Split_output_0:FLOAT:[1, 128, 20, 20] | /model.8/Split_output_1:FLOAT:[1, 128, 20, 20] | /model.8/m.0/Add_output_0:FLOAT:[1, 128, 20, 20]	/model.8/Concat_output_0:FLOAT:[1, 384, 20, 20]
N088	L088	conv_026	/model.8/cv2/conv/Conv	Conv	/model.8/Concat_output_0:FLOAT:[1, 384, 20, 20] | model.8.cv2.conv.weight:FLOAT:[256, 384, 1, 1] | model.8.cv2.conv.bias:FLOAT:[256]	/model.8/cv2/conv/Conv_output_0:FLOAT:[1, 256, 20, 20]
N089	L089	sigmoid_024	/model.8/cv2/act/Sigmoid	Sigmoid	/model.8/cv2/conv/Conv_output_0:FLOAT:[1, 256, 20, 20]	/model.8/cv2/act/Sigmoid_output_0:FLOAT:[1, 256, 20, 20]
N090	L090	mul_024	/model.8/cv2/act/Mul	Mul	/model.8/cv2/conv/Conv_output_0:FLOAT:[1, 256, 20, 20] | /model.8/cv2/act/Sigmoid_output_0:FLOAT:[1, 256, 20, 20]	/model.8/cv2/act/Mul_output_0:FLOAT:[1, 256, 20, 20]
N091	L091	conv_027	/model.9/cv1/conv/Conv	Conv	/model.8/cv2/act/Mul_output_0:FLOAT:[1, 256, 20, 20] | model.9.cv1.conv.weight:FLOAT:[128, 256, 1, 1] | model.9.cv1.conv.bias:FLOAT:[128]	/model.9/cv1/conv/Conv_output_0:FLOAT:[1, 128, 20, 20]
N092	L092	sigmoid_025	/model.9/cv1/act/Sigmoid	Sigmoid	/model.9/cv1/conv/Conv_output_0:FLOAT:[1, 128, 20, 20]	/model.9/cv1/act/Sigmoid_output_0:FLOAT:[1, 128, 20, 20]
N093	L093	mul_025	/model.9/cv1/act/Mul	Mul	/model.9/cv1/conv/Conv_output_0:FLOAT:[1, 128, 20, 20] | /model.9/cv1/act/Sigmoid_output_0:FLOAT:[1, 128, 20, 20]	/model.9/cv1/act/Mul_output_0:FLOAT:[1, 128, 20, 20]
